species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
tripustulatus,-7.589813,43.61235,133,76,42,3650,232,52,180,94,179,182,88,1006,129,34,35,365,130,149,330
tripustulatus,-2.904473,43.30485,136,64,36,4025,231,58,173,94,186,189,87,1203,156,48,29,406,190,222,406
tripustulatus,-5.923744,43.332617,120,96,44,4217,242,24,218,99,174,176,69,857,116,42,28,289,149,157,223
tripustulatus,-7.374659,40.651535,137,96,37,5658,287,29,258,67,211,211,67,1012,151,10,55,408,66,66,408
tripustulatus,-7.934587,40.655953,142,99,40,4997,281,38,243,79,206,207,79,1135,167,11,54,458,73,77,458
tripustulatus,-8.568151,37.331493,154,92,43,4124,276,64,212,114,206,210,105,591,93,2,66,272,23,23,262
tripustulatus,0.932171,41.258425,118,88,35,5758,256,6,250,125,56,194,49,692,78,30,24,209,141,154,141
tripustulatus,-4.024858,40.755567,78,107,38,6060,248,-33,281,57,162,162,11,613,76,24,27,191,95,95,153
tripustulatus,14.731111,47.607222,53,94,32,7072,208,-85,293,142,-26,142,-40,1121,148,59,32,423,191,423,194
tripustulatus,1.492486,42.493951,75,81,34,5558,210,-27,237,89,16,149,9,1029,114,65,17,305,211,256,213
tripustulatus,24.510278,35.326389,169,68,32,5258,282,73,209,106,238,238,105,931,190,2,84,500,16,16,456
tripustulatus,25.174722,35.218611,171,60,30,5133,275,78,197,110,238,238,108,737,153,1,84,393,10,10,344
tripustulatus,18.061667,49.139444,73,91,31,7177,227,-66,293,162,-10,162,-23,781,110,39,36,300,121,300,132
tripustulatus,17.373215,46.776275,103,95,30,7571,265,-43,308,197,18,197,1,646,79,34,27,219,108,219,120
tripustulatus,16.94918,46.51778,103,96,31,7466,264,-42,306,196,19,196,3,731,88,37,28,252,115,252,127
tripustulatus,17.938811,46.118173,106,92,29,7680,267,-42,309,185,19,200,2,679,90,38,26,226,118,225,133
tripustulatus,19.251473,50.121958,84,89,28,7706,242,-67,309,178,-7,178,-22,706,98,32,41,283,103,283,108
tripustulatus,18.824283,49.726553,73,90,29,7505,229,-75,304,164,-16,164,-30,879,128,42,39,348,132,348,140
tripustulatus,18.818917,50.464341,83,86,28,7493,237,-60,297,175,-6,175,-19,664,92,32,38,262,101,262,108
tripustulatus,38.073161,44.612765,109,75,26,7512,258,-25,283,36,94,206,16,832,118,56,25,284,174,186,274
tripustulatus,39.683182,43.741762,127,82,32,6135,261,10,251,68,185,206,51,1377,163,89,21,461,284,299,414
tripustulatus,43.151589,54.727279,46,82,21,10952,246,-141,387,183,-30,183,-95,559,75,27,28,190,89,190,113
tripustulatus,40.393987,55.473015,46,82,21,10548,241,-138,379,177,-26,177,-91,597,89,26,33,212,92,212,113
tripustulatus,-1.480749,53.67358,95,73,37,4499,204,10,194,49,59,154,40,686,66,47,11,189,150,171,172
tripustulatus,-5.047165,52.000017,94,53,31,4253,188,18,170,75,108,152,44,889,102,53,25,300,159,181,253
tripustulatus,-1.656703,55.576555,86,71,39,3986,185,3,182,46,54,138,36,689,72,47,14,196,146,175,173
tripustulatus,-5.103076,50.170261,99,56,33,4128,191,23,168,58,137,153,49,1078,134,58,30,383,179,189,360
tripustulatus,14.930291,38.164694,162,72,31,5533,290,64,226,141,234,236,98,635,93,11,55,259,42,80,212
tripustulatus,14.992668,41.996284,154,67,29,5840,276,50,226,97,230,230,83,673,83,34,29,233,108,108,204
tripustulatus,22.860537,37.936672,177,100,36,6185,330,56,274,118,258,258,102,577,102,6,65,267,27,27,248
tripustulatus,2.325851,48.842339,113,84,35,5687,246,8,238,117,75,185,39,633,58,43,9,171,138,159,152
tripustulatus,9.669425,47.233947,75,88,32,6487,215,-54,269,155,2,155,-11,1142,142,62,28,407,198,407,212
tripustulatus,8.685425,55.724505,78,62,27,5736,195,-27,222,89,28,151,8,838,97,46,27,283,142,215,193
tripustulatus,10.977137,59.304492,68,55,22,6899,201,-48,249,120,9,159,-17,763,91,39,26,257,131,218,151
