species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,44.7725,40.93889,61,113,35,7271,227,-90,317,92,-34,151,-34,632,109,20,52,278,68,221,68
pabulinus,30.38333,55,54,81,24,9079,225,-112,337,166,-56,166,-65,639,88,28,32,233,101,233,114
pabulinus,26.815,52.1,70,84,25,8668,238,-87,325,178,-36,178,-43,609,88,28,36,234,93,234,104
pabulinus,4.4,50.8,100,82,34,5650,226,-9,235,67,62,169,26,818,76,55,10,224,180,211,201
pabulinus,103.16666,31.43333,68,122,40,5985,205,-96,301,141,-14,141,-14,904,161,6,78,455,24,455,24
pabulinus,40.64,43.52,34,101,35,6440,188,-98,286,94,-45,114,-48,1006,134,50,28,354,168,330,185
pabulinus,43.53333,41.73333,24,116,36,7068,190,-130,320,90,-69,110,-69,804,114,35,36,305,122,271,122
pabulinus,44.94,41.39,141,109,31,8419,322,-23,345,184,31,247,31,446,70,20,38,174,67,133,67
pabulinus,44.81333,42.30306,38,108,34,7160,199,-110,309,108,-55,127,-55,1010,146,34,44,400,115,377,115
pabulinus,46.269,41.827,131,96,29,8272,307,-23,330,173,24,236,24,701,102,31,34,260,105,220,105
pabulinus,43.1519,42.8789,15,112,37,6465,173,-125,298,75,-65,94,-69,973,132,39,37,368,137,351,140
pabulinus,8.41666,48.78333,91,87,32,6454,236,-28,264,157,20,173,8,842,94,55,17,258,174,258,188
pabulinus,9.3,40.02,97,68,28,5961,237,-2,239,29,176,178,29,956,137,15,49,361,75,84,361
pabulinus,85.6,49.16666,-21,109,25,11609,196,-228,424,123,-155,123,-172,479,77,13,54,204,42,204,46
pabulinus,128.07694,41.99278,-37,121,26,12117,181,-280,461,113,-201,113,-201,951,217,12,90,579,41,579,41
pabulinus,129.40806,41.90306,-3,113,27,11007,194,-222,416,133,-151,133,-151,844,190,13,83,485,42,485,42
pabulinus,29.11917,47.10083,99,86,26,8667,265,-59,324,191,50,206,-15,520,71,27,30,190,100,185,108
pabulinus,106.909,47.927,-14,127,25,13807,225,-277,502,154,-167,154,-202,253,71,2,108,179,7,179,7
pabulinus,109.4333,48.2,-34,140,26,14696,223,-310,533,146,-233,146,-233,347,101,3,115,247,9,247,9
pabulinus,110.976,48.54,-15,145,28,13540,232,-277,509,152,-197,152,-197,340,97,2,112,240,8,240,8
pabulinus,107.55,49.18333,-25,130,23,15225,232,-313,545,158,-195,158,-237,337,93,3,111,242,9,242,10
