species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
punctatus,101.73,51.65111,-26,134,26,13503,218,-286,504,138,-177,138,-210,354,97,3,104,234,13,234,13
punctatus,86.135,50.753,1,113,25,11943,227,-211,438,150,-135,150,-155,446,82,8,67,221,27,221,33
punctatus,130.011,60.584,-102,116,16,20897,242,-444,686,152,-324,152,-379,328,55,9,59,156,31,156,38
punctatus,101.71667,56.28333,-15,136,26,13143,245,-269,514,152,-165,152,-191,348,64,10,57,162,34,162,44
punctatus,106.44939,50.3508,-5,119,23,14120,243,-267,510,170,-197,170,-197,360,92,4,99,238,13,238,13
punctatus,127.5,62.4,-105,108,16,20656,239,-434,673,149,-219,149,-376,280,48,7,61,137,25,137,32
punctatus,105.05,51.9,-2,120,24,13545,243,-255,498,165,-154,165,-186,515,119,9,80,284,36,284,42
punctatus,39.4667,49.6,73,87,23,10523,271,-106,377,189,-4,205,-61,505,59,25,22,161,93,155,122
punctatus,40.62694,54.66806,49,84,21,10699,245,-138,383,182,-25,182,-90,582,88,26,32,205,90,205,115
punctatus,107.33832,53.1836,-23,122,23,14066,231,-290,521,151,-187,151,-214,329,78,4,81,185,19,185,34
punctatus,60.73836,57.45768,21,91,21,11603,238,-186,424,166,-110,166,-133,527,90,17,50,230,62,230,72
punctatus,62.71566,57.56602,20,92,20,12126,243,-196,439,171,-118,171,-141,475,86,15,53,212,54,212,63
punctatus,65.17326,57.28791,11,89,19,12695,239,-212,451,168,-136,168,-158,471,86,15,51,207,55,207,65
punctatus,39.42278,51.74278,63,89,23,10563,260,-121,381,193,-10,193,-74,562,72,29,27,192,96,192,117
punctatus,60.5,56.41,21,92,21,11715,239,-186,425,167,-113,167,-134,529,93,18,50,233,62,233,71
punctatus,92.2,51.4,-25,127,22,16343,247,-328,575,167,-226,167,-251,370,72,9,64,183,31,183,34
punctatus,59.58731,57.3795,7,93,21,11618,227,-199,426,153,-125,153,-146,635,101,25,43,258,85,258,96
punctatus,84.31694,63.19861,-48,98,19,14254,225,-289,514,123,-142,140,-228,558,68,23,33,197,81,192,95
punctatus,8.5735333,58.8592833,52,58,24,6222,178,-57,235,64,-4,133,-23,1013,118,50,28,342,170,269,226
punctatus,7.6571,58.171,62,47,23,5554,169,-33,202,75,80,134,-5,1430,175,68,30,498,223,307,332
punctatus,34.98333,59.93333,24,85,23,9654,215,-152,367,131,-92,148,-102,719,88,33,29,239,113,238,135
punctatus,46.509,61.285,13,92,21,10775,230,-191,421,150,-113,150,-130,545,72,22,33,197,77,197,94
punctatus,94.898,57.209,-9,112,22,13834,248,-257,505,164,-164,164,-195,403,62,14,44,165,49,165,58
punctatus,110.976,48.54,-15,145,28,13540,232,-277,509,152,-197,152,-197,340,97,2,112,240,8,240,8
punctatus,109.66778,58.35417,-48,127,22,15828,239,-331,570,151,-146,151,-258,384,63,11,50,168,42,168,56
punctatus,71.44219,60.85698,-20,89,18,13468,226,-253,479,153,-173,153,-195,546,78,20,42,221,70,221,81
punctatus,74.56523,63.37638,-51,85,17,13708,202,-278,480,129,-206,129,-223,534,77,21,39,207,75,207,84
punctatus,75.91978,64.29539,-58,85,17,13888,200,-286,486,112,-213,126,-231,509,74,21,38,194,73,193,82
punctatus,77.66563,64.97974,-62,85,17,14209,206,-292,498,114,-217,128,-237,505,72,22,36,190,75,184,84
punctatus,73.77366,62.1203,-34,87,18,13715,217,-265,482,144,-189,144,-209,556,78,21,39,219,76,219,87
punctatus,72.82973,60.75017,-21,89,18,13595,227,-254,481,154,-175,154,-197,556,79,20,42,225,73,225,85
punctatus,112.93333,51.60083,-15,144,25,15101,253,-312,565,170,-182,170,-221,355,104,2,115,253,8,253,8
punctatus,125.06666,60.8,-85,105,16,19089,237,-392,629,150,-196,150,-337,318,55,9,61,155,30,155,38
punctatus,129.56194,63.44028,-108,114,16,21766,251,-453,704,158,-339,158,-394,239,42,5,69,124,19,124,23
punctatus,84.978,56.507,8,97,20,12983,250,-212,462,172,-75,172,-162,534,72,20,37,204,70,204,89
punctatus,89.21,52.48,-1,119,24,13182,241,-245,486,162,-153,162,-177,432,77,11,63,210,34,210,39
punctatus,27.95,59.44,48,72,22,8798,220,-102,322,106,-58,162,-64,632,79,26,34,227,90,205,106
punctatus,90.501,53.611,7,123,24,13362,255,-247,502,172,-147,172,-173,408,73,9,63,200,32,200,39
punctatus,90.15,54.4,-2,118,24,12902,241,-242,483,160,-148,160,-173,456,78,12,59,216,39,216,46
punctatus,106.53,51.42,-20,119,23,14073,230,-282,512,155,-177,155,-210,436,106,6,88,257,23,257,28
punctatus,87.73,53.71,18,114,24,12905,260,-214,474,180,-128,180,-153,474,73,14,55,212,46,212,53
punctatus,33.01472,66.07278,-2,78,21,9408,185,-172,357,109,-76,123,-122,545,72,26,31,192,87,189,94
punctatus,93.05,56.01666,11,105,23,12442,249,-206,455,170,-127,170,-153,467,77,13,52,204,45,204,55
punctatus,99.46666,55.93333,-11,135,25,13445,244,-276,520,156,-166,156,-194,386,81,9,69,196,34,196,42
punctatus,93.33,53.96,-3,123,23,14031,251,-265,516,169,-166,169,-193,601,105,16,56,271,54,271,61
punctatus,88.3,55.75,6,109,22,12947,251,-224,475,170,-138,170,-164,466,70,14,50,202,48,202,57
punctatus,126.51666,53.38333,-32,131,21,16970,254,-346,600,172,-212,172,-262,526,136,4,96,321,18,321,18
punctatus,95.198,51,-38,140,23,17235,246,-356,602,162,-246,162,-277,325,74,6,73,175,23,175,26
punctatus,92.053,53.686,3,128,24,13676,255,-261,516,172,-155,172,-182,464,83,10,64,223,35,223,43
punctatus,40.188,58.089,34,82,21,10372,229,-154,383,164,-89,164,-103,611,84,27,32,220,92,220,112
punctatus,113.45,52.03333,-18,145,25,15180,252,-318,570,168,-185,168,-224,350,104,2,113,249,8,249,10
punctatus,30.968,59.8,43,74,22,9082,221,-114,335,145,-27,161,-73,628,78,28,32,224,96,214,113
punctatus,113.96861,51.64972,-16,145,25,15279,254,-318,572,171,-185,171,-224,368,112,2,115,261,9,261,10
punctatus,23.102418,63.837417,26,86,24,8729,208,-137,345,126,-43,141,-84,534,71,27,30,190,85,172,105
punctatus,22.844937,61.248515,38,82,25,8276,210,-115,325,131,-29,146,-67,621,79,30,30,216,97,206,126
punctatus,22.363668,60.425373,51,75,24,7973,217,-90,307,143,37,157,-48,668,78,35,27,212,111,193,159
punctatus,17.169671,60.060203,52,75,25,7612,209,-84,293,140,-10,152,-43,585,76,29,30,209,94,197,120
punctatus,21.737129,61.21307,43,78,25,7957,210,-101,311,136,-21,149,-55,622,77,34,28,209,104,187,137
